[2019-02-21 21:40:42,721]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:46} WARNING - REQUEST_LOG	200 - {"request": {}, "response": []}
[2019-02-21 22:15:17,879]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:46} WARNING - REQUEST_LOG	200 - {"request": {}, "response": [{"venue_id": 1, "nama_venue": "Rumah Kantja", "lokasi": "Jl. Candi, Malang", "kategori": "Coffee Shop"}, {"venue_id": 2, "nama_venue": "Kopi Yor", "lokasi": "Jl. Bondowoso, Malang", "kategori": "Coffee Shop"}, {"venue_id": 3, "nama_venue": "Candi Badut", "lokasi": "Malang", "kategori": "Wisata"}]}
[2019-02-21 22:17:09,601]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:46} WARNING - REQUEST_LOG	400 - {"request": {}, "response": {"message": {"lokasi": "Missing required parameter in the query string"}}}
[2019-02-21 22:17:24,923]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:46} WARNING - REQUEST_LOG	200 - {"request": {"lokasi": "jakarta"}, "response": [{"nama": "The Dharmawangsa Hotel", "lokasi": "['Jl. Brawijaya Raya No. 26 (Kebayoran Baru)', 'Jakarta Selatan', 'Jakarta 12160', 'Indonesia']", "kategori": "Hotel"}, {"nama": "Penny Jakarta", "lokasi": "['JL. Radio Dalam Raya 7C', 'Jakarta', 'Jakarta 12310', 'Indonesia']", "kategori": "Board Shop"}, {"nama": "Tiket.com Headquarter", "lokasi": "['Jl. Kawi No. 45, Setiabudi (Puri Imperium)', 'Jakarta Selatan', 'Jakarta 12980', 'Indonesia']", "kategori": "Travel Agency"}, {"nama": "Sheraton Grand Jakarta Gandaria City Hotel", "lokasi": "['Jl. Sultan Iskandar Muda, Kebayoran', 'Jakarta', 'Jakarta 12240', 'Indonesia']", "kategori": "Hotel"}, {"nama": "Carl's Jr", "lokasi": "['Plaza Semanggi (Jalan Jenderal Sudirman ,Kav. 50)', 'Setiabudi', 'Jakarta 12930', 'Indonesia']", "kategori": "Fast Food Restaurant"}, {"nama": "Grand Indonesia Shopping Town", "lokasi": "['Jalan Mohammad Husni Thamrin No. 1', 'Jakarta Pusat', 'Jakarta 10310', 'Indonesia']", "kategori": "Shopping Mall"}, {"nama": "Shangri-La Hotel, Jakarta", "lokasi": "['Kota BNI, Jl. Jend. Sudirman Kav. 1', 'Jakarta Pusat', 'Jakarta 10220', 'Indonesia']", "kategori": "Hotel"}, {"nama": "Starbucks", "lokasi": "['Gedung Filateli Jakarta (Jalan Pos)', 'Jakarta Pusat', 'Jakarta', 'Indonesia']", "kategori": "Coffee Shop"}, {"nama": "AEON Supermarket", "lokasi": "['\u00c6ON Mall, Jakarta Garden City, Ground Floor (Jalan Jakarta Garden City)', 'Jakarta Timur', 'Jakarta 13960', 'Indonesia']", "kategori": "Supermarket"}, {"nama": "Selasih by Dapur Mamih", "lokasi": "['Jl. Wolter Mongonsidi No.59', 'Jakarta Selatan', 'Jakarta', 'Indonesia']", "kategori": "Indonesian Restaurant"}, {"nama": "Plaza Senayan", "lokasi": "['Jalan Asia Afrika No. 8 (Gelora)', 'Jakarta Pusat', 'Jakarta 10270', 'Indonesia']", "kategori": "Shopping Mall"}, {"nama": "Cork&Screw", "lokasi": "['Pacific Place Ground Level, Shop Unit No. G-51C (Jl. Jendral Sudirman Kav. 52-53)', 'Jakarta', 'Jakarta', 'Indonesia']", "kategori": "Winery"}, {"nama": "Sari Indah", "lokasi": "['Jl.Wolter Monginsidi', 'Indonesia']", "kategori": "Asian Restaurant"}, {"nama": "Lotte Shopping Avenue XXI", "lokasi": "['Lotte Shopping Avenue, 4th Floor (Jl. Prof. Dr. Satrio Kav. 3-5)', 'Jakarta Selatan', 'Jakarta 12920', 'Indonesia']", "kategori": "Multiplex"}, {"nama": "Pagi Sore", "lokasi": "['Jalan Benda Bawah Nomor 75 (Jalan Benda Atas)', 'Jakarta Selatan', 'Jakarta', 'Indonesia']", "kategori": "Padangnese Restaurant"}, {"nama": "H\u00e4agen-Dazs", "lokasi": "['Kota Kasablanka, Food Society (Jl. Casablanka Raya Kav. 88)', 'Jakarta Selatan', 'Jakarta', 'Indonesia']", "kategori": "Ice Cream Shop"}, {"nama": "Starbucks", "lokasi": "['Jl. Pantai Indah Utara 2, The Gallery Blok 8', 'Jakarta', 'Jakarta', 'Indonesia']", "kategori": "Coffee Shop"}, {"nama": "Plaza Indonesia", "lokasi": "['Jalan Mohammad Husni Thamrin Kav. 28-30', 'Jakarta Pusat', 'Jakarta 10350', 'Indonesia']", "kategori": "Shopping Mall"}, {"nama": "ZARA", "lokasi": "['Kota Kasablanka, G Floor (Jl. Casablanca Raya Kav. 88)', 'Jakarta Selatan', 'Jakarta 12870', 'Indonesia']", "kategori": "Clothing Store"}, {"nama": "Pand'Or", "lokasi": "['Jalan Wijaya 1 No. 60', 'Jakarta Selatan', 'Jakarta 12170', 'Indonesia']", "kategori": "Bakery"}, {"nama": "Pagi Sore", "lokasi": "['Jalan Cipete Raya (Gandaria Selatan)', 'Jakarta Selatan', 'Jakarta 12420', 'Indonesia']", "kategori": "Padangnese Restaurant"}, {"nama": "Fairmont Jakarta", "lokasi": "['Jalan Asia Afrika No.8 (Gelora Bung Karno)', 'Jakarta Pusat', 'Jakarta 10270', 'Indonesia']", "kategori": "Hotel"}, {"nama": "SKYE", "lokasi": "['Menara BCA, Level 56 (Jl. Mohammad Husni Thamrin No. 1)', 'Jakarta Pusat', 'Jakarta 10310', 'Indonesia']", "kategori": "Restaurant"}, {"nama": "Plaza Senayan XXI", "lokasi": "['Plaza Senayan, 5th Floor (Jalan Asia Afrika No. 8)', 'Jakarta Pusat', 'Jakarta 10270', 'Indonesia']", "kategori": "Multiplex"}, {"nama": "Pagi Sore (Masakan Padang)", "lokasi": "['Jalan Raya Kalimalang - Komplek Billy Moon Blok M 1 Nomor 1A', 'Jakarta Raya', 'Jakarta', 'Indonesia']", "kategori": "Indonesian Restaurant"}, {"nama": "Pondok Indah Golf & Country Club", "lokasi": "['Jalan Metro Pondok Indah', 'Jakarta Selatan', 'Jakarta 12310', 'Indonesia']", "kategori": "Golf Course"}, {"nama": "Hotel Indonesia Kempinski Jakarta", "lokasi": "['Jalan M. H. Thamrin No. 1 (Bundaran HI)', 'Jakarta Pusat', 'Jakarta 10310', 'Indonesia']", "kategori": "Hotel"}, {"nama": "Hotel Mulia Senayan", "lokasi": "['Jalan Asia Afrika (Senayan)', 'Jakarta Pusat', 'Jakarta 10270', 'Indonesia']", "kategori": "Hotel"}, {"nama": "Gading XXI", "lokasi": "['Mal Kelapa Gading 3 Lt. 3 (Jalan Bulevar Kelapa Gading)', 'Jakarta Utara', 'Jakarta 14240', 'Indonesia']", "kategori": "Multiplex"}, {"nama": "UNION", "lokasi": "['Plaza Senayan, GF (Jl. Asia Afrika No. 8)', 'Jakarta Pusat', 'Jakarta 10270', 'Indonesia']", "kategori": "Bistro"}]}
[2019-02-21 22:17:35,798]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:46} WARNING - REQUEST_LOG	200 - {"request": {"lokasi": "malang"}, "response": [{"venue_id": 1, "nama_venue": "Rumah Kantja", "lokasi": "Jl. Candi, Malang", "kategori": "Coffee Shop"}, {"venue_id": 2, "nama_venue": "Kopi Yor", "lokasi": "Jl. Bondowoso, Malang", "kategori": "Coffee Shop"}, {"venue_id": 3, "nama_venue": "Candi Badut", "lokasi": "Malang", "kategori": "Wisata"}]}
[2019-02-21 22:31:45,001]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:46} WARNING - REQUEST_LOG	405 - {"request": {"client_key": "admin1", "client_secret": "111", "status": "admin"}, "response": {"message": "The method is not allowed for the requested URL."}}
[2019-02-21 22:31:54,277]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:53} WARNING - REQUEST_LOG	400 - {"request": null, "response": {"message": {"status_admin": "Missing required parameter in the query string"}}}
[2019-02-21 22:32:20,832]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:53} WARNING - REQUEST_LOG	200 - {"request": null, "response": {"client_id": 3, "client_key": "admin1", "client_secret": "111", "status_admin": "admin"}}
[2019-02-21 22:33:49,557]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:46} WARNING - REQUEST_LOG	200 - {"request": {"client_key": "admin1", "client_secret": "111"}, "response": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NTA3NjMyMjksIm5iZiI6MTU1MDc2MzIyOSwianRpIjoiOWI4MWE3NzItZWM5ZC00NzM4LTk3YmUtZTViZmI4ODM0NGUwIiwiZXhwIjoxNTUwNzY0MTI5LCJpZGVudGl0eSI6eyJjbGllbnRfaWQiOjMsImNsaWVudF9rZXkiOiJhZG1pbjEiLCJjbGllbnRfc2VjcmV0IjoiMTExIiwic3RhdHVzX2FkbWluIjoiYWRtaW4ifSwiZnJlc2giOmZhbHNlLCJ0eXBlIjoiYWNjZXNzIiwidXNlcl9jbGFpbXMiOnsiY2xpZW50X2lkIjozLCJjbGllbnRfa2V5IjoiYWRtaW4xIiwiY2xpZW50X3NlY3JldCI6IjExMSIsInN0YXR1c19hZG1pbiI6ImFkbWluIn19.-w0_jvFoNcKwOlvXznDbCtxuuBTgMYgEO5oVj2-L7jA"}}
[2019-02-21 22:34:58,597]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:46} WARNING - REQUEST_LOG	200 - {"request": {"client_key": "user1", "client_secret": "user1"}, "response": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NTA3NjMyOTgsIm5iZiI6MTU1MDc2MzI5OCwianRpIjoiZGQ4NjgwNzUtNTA5OC00MTEwLTk4MWQtMmMwYmNlZTZmMTQ0IiwiZXhwIjoxNTUwNzY0MTk4LCJpZGVudGl0eSI6eyJjbGllbnRfaWQiOjIsImNsaWVudF9rZXkiOiJ1c2VyMSIsImNsaWVudF9zZWNyZXQiOiJ1c2VyMSIsInN0YXR1c19hZG1pbiI6InVzZXIifSwiZnJlc2giOmZhbHNlLCJ0eXBlIjoiYWNjZXNzIiwidXNlcl9jbGFpbXMiOnsiY2xpZW50X2lkIjoyLCJjbGllbnRfa2V5IjoidXNlcjEiLCJjbGllbnRfc2VjcmV0IjoidXNlcjEiLCJzdGF0dXNfYWRtaW4iOiJ1c2VyIn19.BO7Y-3R6PscjEbLO62VLqLgTRWs5EiPBvtITvPxqKGs"}}
[2019-02-21 22:39:14,943]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:46} WARNING - REQUEST_LOG	401 - {"request": {}, "response": {"msg": "Missing Authorization Header"}}
[2019-02-21 22:40:03,269]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:46} WARNING - REQUEST_LOG	200 - {"request": {}, "response": [{"venue_id": 1, "nama_venue": "Rumah Kantja", "lokasi": "Jl. Candi, Malang", "kategori": "Coffee Shop"}, {"venue_id": 2, "nama_venue": "Kopi Yor", "lokasi": "Jl. Bondowoso, Malang", "kategori": "Coffee Shop"}, {"venue_id": 3, "nama_venue": "Candi Badut", "lokasi": "Malang", "kategori": "Wisata"}]}
[2019-02-21 22:40:43,074]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:46} WARNING - REQUEST_LOG	200 - {"request": {"lokasi": "malang"}, "response": [{"venue_id": 1, "nama_venue": "Rumah Kantja", "lokasi": "Jl. Candi, Malang", "kategori": "Coffee Shop"}, {"venue_id": 2, "nama_venue": "Kopi Yor", "lokasi": "Jl. Bondowoso, Malang", "kategori": "Coffee Shop"}, {"venue_id": 3, "nama_venue": "Candi Badut", "lokasi": "Malang", "kategori": "Wisata"}]}
[2019-02-21 22:41:05,151]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:46} WARNING - REQUEST_LOG	200 - {"request": {"kategori": "wisata"}, "response": [{"venue_id": 1, "nama_venue": "Rumah Kantja", "lokasi": "Jl. Candi, Malang", "kategori": "Coffee Shop"}, {"venue_id": 2, "nama_venue": "Kopi Yor", "lokasi": "Jl. Bondowoso, Malang", "kategori": "Coffee Shop"}, {"venue_id": 3, "nama_venue": "Candi Badut", "lokasi": "Malang", "kategori": "Wisata"}]}
[2019-02-21 22:41:45,467]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:46} WARNING - REQUEST_LOG	200 - {"request": {"client_key": "user1", "client_secret": "user1"}, "response": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NTA3NjM3MDUsIm5iZiI6MTU1MDc2MzcwNSwianRpIjoiY2M1NTk4YjgtMzIyNi00Njc2LTk1N2EtYmM0Nzc0ODIxMWRiIiwiZXhwIjoxNTUwNzY0NjA1LCJpZGVudGl0eSI6eyJjbGllbnRfaWQiOjIsImNsaWVudF9rZXkiOiJ1c2VyMSIsImNsaWVudF9zZWNyZXQiOiJ1c2VyMSIsInN0YXR1c19hZG1pbiI6InVzZXIifSwiZnJlc2giOmZhbHNlLCJ0eXBlIjoiYWNjZXNzIiwidXNlcl9jbGFpbXMiOnsiY2xpZW50X2lkIjoyLCJjbGllbnRfa2V5IjoidXNlcjEiLCJjbGllbnRfc2VjcmV0IjoidXNlcjEiLCJzdGF0dXNfYWRtaW4iOiJ1c2VyIn19.Flws-mJ-qEVnN4pFtZyxoOOheMeRPgx2tSTzTV0tfyA"}}
[2019-02-21 22:42:20,660]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:46} WARNING - REQUEST_LOG	400 - {"request": {}, "response": {"message": {"lokasi": "Missing required parameter in the query string"}}}
[2019-02-21 22:42:30,417]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:46} WARNING - REQUEST_LOG	200 - {"request": {"lokasi": "malang"}, "response": [{"venue_id": 1, "nama_venue": "Rumah Kantja", "lokasi": "Jl. Candi, Malang", "kategori": "Coffee Shop"}, {"venue_id": 2, "nama_venue": "Kopi Yor", "lokasi": "Jl. Bondowoso, Malang", "kategori": "Coffee Shop"}, {"venue_id": 3, "nama_venue": "Candi Badut", "lokasi": "Malang", "kategori": "Wisata"}]}
[2019-02-21 22:42:44,928]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:46} WARNING - REQUEST_LOG	200 - {"request": {"lokasi": "jakarta"}, "response": [{"nama": "The Dharmawangsa Hotel", "lokasi": "['Jl. Brawijaya Raya No. 26 (Kebayoran Baru)', 'Jakarta Selatan', 'Jakarta 12160', 'Indonesia']", "kategori": "Hotel"}, {"nama": "Penny Jakarta", "lokasi": "['JL. Radio Dalam Raya 7C', 'Jakarta', 'Jakarta 12310', 'Indonesia']", "kategori": "Board Shop"}, {"nama": "Tiket.com Headquarter", "lokasi": "['Jl. Kawi No. 45, Setiabudi (Puri Imperium)', 'Jakarta Selatan', 'Jakarta 12980', 'Indonesia']", "kategori": "Travel Agency"}, {"nama": "Sheraton Grand Jakarta Gandaria City Hotel", "lokasi": "['Jl. Sultan Iskandar Muda, Kebayoran', 'Jakarta', 'Jakarta 12240', 'Indonesia']", "kategori": "Hotel"}, {"nama": "Carl's Jr", "lokasi": "['Plaza Semanggi (Jalan Jenderal Sudirman ,Kav. 50)', 'Setiabudi', 'Jakarta 12930', 'Indonesia']", "kategori": "Fast Food Restaurant"}, {"nama": "Grand Indonesia Shopping Town", "lokasi": "['Jalan Mohammad Husni Thamrin No. 1', 'Jakarta Pusat', 'Jakarta 10310', 'Indonesia']", "kategori": "Shopping Mall"}, {"nama": "Shangri-La Hotel, Jakarta", "lokasi": "['Kota BNI, Jl. Jend. Sudirman Kav. 1', 'Jakarta Pusat', 'Jakarta 10220', 'Indonesia']", "kategori": "Hotel"}, {"nama": "Starbucks", "lokasi": "['Gedung Filateli Jakarta (Jalan Pos)', 'Jakarta Pusat', 'Jakarta', 'Indonesia']", "kategori": "Coffee Shop"}, {"nama": "AEON Supermarket", "lokasi": "['\u00c6ON Mall, Jakarta Garden City, Ground Floor (Jalan Jakarta Garden City)', 'Jakarta Timur', 'Jakarta 13960', 'Indonesia']", "kategori": "Supermarket"}, {"nama": "Selasih by Dapur Mamih", "lokasi": "['Jl. Wolter Mongonsidi No.59', 'Jakarta Selatan', 'Jakarta', 'Indonesia']", "kategori": "Indonesian Restaurant"}, {"nama": "Plaza Senayan", "lokasi": "['Jalan Asia Afrika No. 8 (Gelora)', 'Jakarta Pusat', 'Jakarta 10270', 'Indonesia']", "kategori": "Shopping Mall"}, {"nama": "Cork&Screw", "lokasi": "['Pacific Place Ground Level, Shop Unit No. G-51C (Jl. Jendral Sudirman Kav. 52-53)', 'Jakarta', 'Jakarta', 'Indonesia']", "kategori": "Winery"}, {"nama": "Sari Indah", "lokasi": "['Jl.Wolter Monginsidi', 'Indonesia']", "kategori": "Asian Restaurant"}, {"nama": "Lotte Shopping Avenue XXI", "lokasi": "['Lotte Shopping Avenue, 4th Floor (Jl. Prof. Dr. Satrio Kav. 3-5)', 'Jakarta Selatan', 'Jakarta 12920', 'Indonesia']", "kategori": "Multiplex"}, {"nama": "Pagi Sore", "lokasi": "['Jalan Benda Bawah Nomor 75 (Jalan Benda Atas)', 'Jakarta Selatan', 'Jakarta', 'Indonesia']", "kategori": "Padangnese Restaurant"}, {"nama": "H\u00e4agen-Dazs", "lokasi": "['Kota Kasablanka, Food Society (Jl. Casablanka Raya Kav. 88)', 'Jakarta Selatan', 'Jakarta', 'Indonesia']", "kategori": "Ice Cream Shop"}, {"nama": "Starbucks", "lokasi": "['Jl. Pantai Indah Utara 2, The Gallery Blok 8', 'Jakarta', 'Jakarta', 'Indonesia']", "kategori": "Coffee Shop"}, {"nama": "Plaza Indonesia", "lokasi": "['Jalan Mohammad Husni Thamrin Kav. 28-30', 'Jakarta Pusat', 'Jakarta 10350', 'Indonesia']", "kategori": "Shopping Mall"}, {"nama": "ZARA", "lokasi": "['Kota Kasablanka, G Floor (Jl. Casablanca Raya Kav. 88)', 'Jakarta Selatan', 'Jakarta 12870', 'Indonesia']", "kategori": "Clothing Store"}, {"nama": "Pand'Or", "lokasi": "['Jalan Wijaya 1 No. 60', 'Jakarta Selatan', 'Jakarta 12170', 'Indonesia']", "kategori": "Bakery"}, {"nama": "Pagi Sore", "lokasi": "['Jalan Cipete Raya (Gandaria Selatan)', 'Jakarta Selatan', 'Jakarta 12420', 'Indonesia']", "kategori": "Padangnese Restaurant"}, {"nama": "Fairmont Jakarta", "lokasi": "['Jalan Asia Afrika No.8 (Gelora Bung Karno)', 'Jakarta Pusat', 'Jakarta 10270', 'Indonesia']", "kategori": "Hotel"}, {"nama": "SKYE", "lokasi": "['Menara BCA, Level 56 (Jl. Mohammad Husni Thamrin No. 1)', 'Jakarta Pusat', 'Jakarta 10310', 'Indonesia']", "kategori": "Restaurant"}, {"nama": "Plaza Senayan XXI", "lokasi": "['Plaza Senayan, 5th Floor (Jalan Asia Afrika No. 8)', 'Jakarta Pusat', 'Jakarta 10270', 'Indonesia']", "kategori": "Multiplex"}, {"nama": "Pagi Sore (Masakan Padang)", "lokasi": "['Jalan Raya Kalimalang - Komplek Billy Moon Blok M 1 Nomor 1A', 'Jakarta Raya', 'Jakarta', 'Indonesia']", "kategori": "Indonesian Restaurant"}, {"nama": "Pondok Indah Golf & Country Club", "lokasi": "['Jalan Metro Pondok Indah', 'Jakarta Selatan', 'Jakarta 12310', 'Indonesia']", "kategori": "Golf Course"}, {"nama": "Hotel Indonesia Kempinski Jakarta", "lokasi": "['Jalan M. H. Thamrin No. 1 (Bundaran HI)', 'Jakarta Pusat', 'Jakarta 10310', 'Indonesia']", "kategori": "Hotel"}, {"nama": "Hotel Mulia Senayan", "lokasi": "['Jalan Asia Afrika (Senayan)', 'Jakarta Pusat', 'Jakarta 10270', 'Indonesia']", "kategori": "Hotel"}, {"nama": "Gading XXI", "lokasi": "['Mal Kelapa Gading 3 Lt. 3 (Jalan Bulevar Kelapa Gading)', 'Jakarta Utara', 'Jakarta 14240', 'Indonesia']", "kategori": "Multiplex"}, {"nama": "UNION", "lokasi": "['Plaza Senayan, GF (Jl. Asia Afrika No. 8)', 'Jakarta Pusat', 'Jakarta 10270', 'Indonesia']", "kategori": "Bistro"}]}
